Income,Limit,Rating,Cards,Age,Education,Gender,Married,Ethnicity,Balance
944,886,197,1,51,10, Male,Yes,African American,710.41
1011,3484,282,6,51,15, Male,No,Caucasian,534.5
3166,1389,149,1,54,13,Female,Yes,African American,4582.62
274,2586,229,2,59,15, Male,Yes,African American,598.22
782,3613,278,4,57,12, Male,Yes,Asian,44.36
3177,3098,272,4,55,16, Male,Yes,Caucasian,4988.81
298,10578,747,3,51,11,Female,Yes,Asian,1451.84
5269,7582,531,2,60,18, Male,No,Caucasian,12403.39
4006,8244,579,3,57,15, Male,Yes,Asian,6994.63
2917,6617,460,1,62,15,Female,Yes,Caucasian,3856.73
3080,3584,294,5,56,14, Male,Yes,Asian,4888.86
5295,2001,189,1,54,17,Female,Yes,African American,11005.89
1302,1757,229,2,49,14,Female,No,African American,1632.84
1270,3557,263,2,61,14,Female,Yes,Asian,1061.35
389,5274,387,3,64,13,Female,Yes,Asian,752.35
1819,4381,321,3,51,12, Male,Yes,Asian,2518.48
1342,3683,287,2,56,12, Male,No,African American,1115.51
4942,9272,656,2,57,12, Male,No,African American,11358.71
421,5619,418,2,55,17,Female,Yes,Caucasian,1400.7
231,2910,236,2,48,11,Female,Yes,Caucasian,1041.54
4363,5140,370,1,63,15,Female,Yes,Caucasian,7132.24
3039,3180,224,2,59,13, Male,Yes,Caucasian,3907.32
1867,1160,126,1,54,10, Male,Yes,African American,2772.34
1734,2525,192,1,59,15, Male,Yes,Caucasian,1648.75
2840,5614,430,3,50,14,Female,Yes,Caucasian,3521.58
2812,6922,511,1,64,16, Male,Yes,Caucasian,3772.41
209,6617,460,1,65,11,Female,Yes,Caucasian,890.52
2382,6033,449,4,59,11, Male,Yes,Caucasian,3149
393,4543,329,2,60,11, Male,No,Asian,1057.54
5155,3782,293,2,51,12,Female,No,Caucasian,9427.46
4604,5096,380,2,62,14, Male,Yes,Caucasian,8890.28
2518,3714,286,2,51,16,Female,Yes,African American,3701.82
2012,9156,642,2,57,13,Female,Yes,African American,3194.37
5475,2539,188,1,57,11, Male,Yes,Asian,12819.61
579,3746,280,2,58,13,Female,Yes,Caucasian,867.97
1060,3089,254,2,48,11,Female,No,Caucasian,1306.6
4227,5495,409,1,57,14, Male,No,Caucasian,7497.15
2362,4673,341,2,52,15, Male,No,Asian,2910.6
279,3476,231,2,57,14,Female,Yes,Caucasian,805.45
2276,6637,491,4,49,16, Male,Yes,Caucasian,2386.59
492,4284,338,5,58,14,Female,Yes,Caucasian,1295.57
1902,4640,332,2,54,15, Male,No,Asian,1449.69
2561,5829,427,2,60,11,Female,Yes,African American,3721.29
714,3560,233,2,53,12, Male,Yes,Caucasian,482.84
2593,3182,222,2,50,17,Female,Yes,Caucasian,3428.68
1331,3235,268,5,63,14, Male,Yes,Asian,1566.25
1135,7871,564,3,57,15, Male,Yes,Caucasian,1117.24
3840,2890,223,2,58,14, Male,No,Caucasian,6408.84
1625,6662,468,3,54,14,Female,Yes,Caucasian,1598.35
637,5521,406,2,64,17,Female,Yes,Caucasian,1424.48
2440,5101,382,3,52,13,Female,No,African American,3300.07
2375,3254,253,2,50,16,Female,No,Asian,2375.45
632,7871,564,3,56,19, Male,Yes,Caucasian,651.96
1208,5441,394,1,54,15, Male,Yes,Caucasian,690.43
845,4381,321,3,54,12, Male,Yes,Asian,1309.65
4737,3000,235,2,61,9, Male,No,Asian,10024.61
4019,2021,167,1,53,15, Male,No,Asian,7505.15
5178,2923,232,2,58,13, Male,Yes,African American,11118.62
1478,3878,321,8,48,12, Male,No,Caucasian,392.82
2944,6922,511,1,65,13, Male,Yes,Caucasian,4132.49
2579,5140,374,1,58,10, Male,Yes,Caucasian,3830.18
1608,1233,133,1,61,10,Female,Yes,African American,1812.65
4545,2525,200,1,50,16,Female,Yes,African American,7896.41
1325,4381,321,3,60,16, Male,Yes,Asian,1848.08
4432,2880,214,2,66,17, Male,No,African American,8388.55
1874,3746,280,2,59,14,Female,Yes,Caucasian,2037.74
520,2561,215,2,62,8, Male,Yes,Caucasian,245.73
2734,1705,232,2,65,14, Male,Yes,African American,4496.1
1448,7569,564,3,57,14,Female,Yes,Caucasian,1507.63
3124,6045,459,2,62,16,Female,Yes,African American,3614.12
2134,3606,283,2,59,18, Male,Yes,Caucasian,1962.58
2644,2450,180,1,57,12, Male,No,Caucasian,4295.74
3498,5728,435,3,58,12,Female,Yes,Asian,4295.48
5435,5884,438,4,56,12, Male,No,Caucasian,13249.04
2066,3235,268,5,56,12, Male,Yes,Asian,2674.49
4291,2101,171,1,53,9, Male,No,Asian,8813.8
682,2430,191,1,54,13,Female,Yes,Asian,1043.94
1867,2762,215,3,54,16, Male,No,Asian,2323.94
1785,5294,390,4,63,15,Female,No,Caucasian,2644.45
2847,2733,210,1,59,13, Male,Yes,Asian,3934.96
3657,4706,353,6,61,13, Male,No,Asian,5791.42
1155,3969,301,2,62,16, Male,Yes,African American,713.65
2731,6207,451,4,55,15, Male,No,Caucasian,3204.79
2795,3274,282,9,57,15, Male,Yes,Caucasian,3453.12
799,7402,538,2,59,13,Female,Yes,Asian,1654.71
5403,3690,299,2,56,15, Male,No,Caucasian,12019.72
1342,4613,344,5,59,8, Male,Yes,Asian,1614.56
2573,5524,415,5,57,16,Female,No,Asian,3253.04
2668,4986,369,2,61,14, Male,Yes,Asian,3128.34
3055,5110,371,3,62,16,Female,Yes,Caucasian,4135.25
4465,3327,253,2,55,14,Female,No,African American,7479.95
471,2150,173,1,58,9, Male,No,Caucasian,1214.92
1795,2672,204,1,56,8,Female,No,African American,2540.68
3961,2433,190,1,52,15,Female,No,Caucasian,6702.87
3470,5183,376,3,62,14, Male,Yes,Asian,5582.86
5351,8100,581,2,51,12,Female,Yes,Caucasian,10221.19
2887,5140,370,1,53,13,Female,Yes,Caucasian,3763.63
2688,7871,564,3,56,12, Male,Yes,Caucasian,3666.99
5422,5565,410,4,59,15,Female,Yes,Caucasian,10362.06
5518,6045,459,2,57,13,Female,Yes,African American,10050.07
1677,3388,259,2,55,16,Female,No,African American,1477.97
2406,3873,292,1,58,16,Female,Yes,Asian,2819.66
1954,7167,515,2,62,9,Female,No,African American,1967.59
3248,3075,245,2,56,12,Female,No,African American,4309.53
217,9113,626,1,64,15, Male,Yes,Asian,535.49
5553,6040,456,3,57,12, Male,Yes,Caucasian,13283.17
4965,7075,514,4,60,14, Male,No,Asian,11233.99
234,5043,376,2,60,17,Female,Yes,Asian,1107.51
1836,8029,574,2,50,13, Male,Yes,Caucasian,2697.13
4613,8157,599,2,61,14, Male,Yes,Caucasian,10466.66
2966,3899,300,4,60,15, Male,No,Asian,3310.83
3687,7685,534,2,55,10,Female,Yes,Asian,6132.48
1466,5443,407,2,56,14, Male,Yes,African American,1170.45
2722,5466,413,4,58,9, Male,Yes,Asian,3758.64
1401,3714,286,2,49,16,Female,Yes,African American,2131.73
709,5228,377,3,64,15, Male,No,Caucasian,1328.27
4142,8047,569,4,63,18, Male,No,Caucasian,8235.09
5161,5289,410,2,54,17,Female,Yes,Caucasian,9923.72
1404,886,132,1,56,10, Male,Yes,African American,1079.09
2544,2000,233,1,51,17,Female,Yes,African American,3178.18
2810,4229,337,3,61,13,Female,Yes,Caucasian,4387.61
4895,4897,357,2,61,14, Male,Yes,Caucasian,11245.5
5430,7398,517,2,62,16, Male,Yes,African American,13458.53
4393,5384,398,2,59,15,Female,Yes,Asian,7925.63
4336,3613,278,4,58,12, Male,Yes,Asian,7713.09
3233,7659,538,2,59,13, Male,Yes,African American,5403.95
1659,2631,213,1,59,17, Male,Yes,African American,1932.1
2540,2493,186,1,59,19, Male,Yes,Asian,3617.43
5287,1337,124,1,57,11, Male,Yes,African American,13079.7
4721,2073,175,1,49,16,Female,Yes,Caucasian,8790.16
4703,906,105,1,57,10, Male,Yes,African American,9368.14
2719,855,109,1,64,10, Male,Yes,African American,3250.33
1610,1433,122,1,50,16,Female,No,African American,1517.66
3000,905,123,1,56,10, Male,Yes,African American,4171.74
4344,1433,123,1,54,11,Female,No,African American,6721.16
5574,1160,126,1,56,10, Male,Yes,African American,13066.43
805,1300,126,1,55,10,Female,No,African American,1651.77
759,1357,126,1,64,14, Male,No,African American,914.7
1766,1402,126,1,54,15,Female,Yes,African American,1660.93
3099,1300,129,1,57,10,Female,No,African American,3784.39
2042,1410,137,1,57,18, Male,No,African American,3191.11
3827,1511,137,1,54,17, Male,Yes,African American,6449.16
1685,1511,137,1,49,15, Male,Yes,African American,1496.53
2063,1511,137,1,60,16, Male,Yes,African American,2087.91
1885,1311,138,1,61,10, Male,No,African American,2516.97
2745,1335,138,1,50,11, Male,No,African American,4187.96
2880,1499,138,1,60,12,Female,Yes,African American,3522.01
5597,1499,138,1,59,18,Female,Yes,African American,10759.46
2265,1551,139,1,57,9,Female,Yes,African American,2465.44
738,1552,142,1,62,16,Female,No,African American,1003.94
1642,1552,142,1,50,16,Female,No,African American,1827.48
3386,1567,142,1,58,13, Male,Yes,African American,5372.15
803,1362,143,1,60,11,Female,Yes,African American,583.04
259,1362,143,1,62,14,Female,Yes,African American,376.64
704,1337,145,1,54,11, Male,Yes,African American,1336.83
3262,1448,145,1,57,15,Female,Yes,African American,4660.67
2475,1389,149,1,59,13,Female,Yes,African American,3275.87
298,2021,167,1,56,13, Male,No,Asian,493.89
5401,2047,167,1,62,10, Male,Yes,Caucasian,13114.14
2727,2047,167,1,55,14, Male,Yes,Caucasian,3985.88
2626,2047,167,1,60,16, Male,Yes,Caucasian,3721.89
1670,905,172,1,59,10, Male,Yes,African American,1552.79
3117,2161,173,1,60,13,Female,No,African American,3983.84
3976,2161,173,1,54,16,Female,No,African American,5902.88
300,2150,173,1,49,11, Male,No,Caucasian,1083.24
3687,2073,175,1,64,12,Female,Yes,Caucasian,5959.37
4135,2327,178,1,63,13,Female,Yes,Caucasian,6108.98
1519,2120,181,1,53,15, Male,Yes,African American,2304.79
1711,2271,182,1,55,15,Female,No,Asian,2046.64
1518,2271,182,1,49,15,Female,No,Asian,1782.79
2288,2120,184,1,57,13,Female,No,Caucasian,1963.57
916,2120,184,1,56,16,Female,No,Caucasian,518.84
3497,2117,186,1,56,13,Female,No,Caucasian,5303.88
2449,2220,188,1,59,15, Male,No,African American,3328.42
1895,2001,189,1,58,15,Female,Yes,African American,2912.95
3237,2433,190,1,57,16,Female,No,Caucasian,4974.38
2364,2420,192,1,57,16,Female,Yes,Caucasian,3188.28
5594,2420,192,1,63,15,Female,Yes,Caucasian,11545.66
5012,2525,192,1,58,12, Male,Yes,Caucasian,10880.99
3943,2308,196,1,56,13, Male,No,Asian,6334.91
735,2308,196,1,57,15, Male,No,Asian,96.27
2406,2308,196,1,62,15, Male,No,Asian,2297.12
1345,2525,200,1,56,10,Female,Yes,African American,1653.57
1511,2672,204,1,59,12,Female,No,African American,2229.75
5196,2672,204,1,56,13,Female,No,African American,10369.57
2353,2252,205,1,59,16, Male,Yes,Asian,3575.69
3002,2532,205,1,57,14, Male,Yes,Asian,4148.25
3142,2168,206,1,58,13, Male,No,African American,4968.69
779,2631,213,1,58,17, Male,Yes,African American,896.09
2243,2631,213,3,63,17, Male,Yes,African American,2766.45
439,2631,213,1,59,14, Male,Yes,African American,727.97
916,2860,214,1,61,13, Male,Yes,Caucasian,1539.9
4175,2762,215,3,64,10, Male,No,Asian,8202.53
1085,2762,215,3,57,14, Male,No,Asian,1276.11
1059,1647,215,1,50,14,Female,Yes,Caucasian,1645.24
4839,3085,217,1,49,10, Male,No,Caucasian,10079
2569,2820,219,1,59,15,Female,Yes,Asian,2588.03
480,2558,220,2,54,14,Female,No,Caucasian,804.35
2782,2607,221,2,51,15, Male,Yes,Caucasian,3532
2598,2607,221,2,58,17, Male,Yes,Caucasian,3063.27
1740,6555,222,2,56,15,Female,No,Caucasian,1757.23
3565,2937,223,2,56,15,Female,Yes,African American,5901.18
2455,2590,223,2,52,14,Female,Yes,Caucasian,3257.8
1536,3280,223,2,54,17,Female,No,Caucasian,1485.52
2082,3500,224,2,61,15,Female,No,African American,3170.91
1055,2890,224,2,56,15,Female,Yes,Asian,1032.95
5160,3180,224,2,61,15, Male,Yes,Caucasian,11039.24
5186,2955,226,2,61,13, Male,Yes,African American,11272.26
474,1561,227,2,64,15,Female,Yes,African American,1283.2
1302,2955,227,2,56,15, Male,Yes,African American,792.75
3134,3240,227,2,54,19,Female,Yes,Asian,3579.29
2527,3670,227,2,56,14,Female,Yes,Caucasian,3051.42
689,2955,228,2,65,13, Male,Yes,African American,237.11
568,1568,229,2,59,13, Male,Yes,African American,689.76
4140,1786,229,2,60,15,Female,Yes,African American,6644.64
2625,2586,229,2,63,15, Male,Yes,African American,3633.05
5208,1787,230,1,55,13,Female,No,African American,10183.26
1089,1829,230,2,55,12, Male,Yes,African American,484.18
304,3402,230,2,49,17, Male,Yes,Asian,904.56
555,1671,231,2,59,16,Female,No,African American,1317.88
4023,2959,231,2,53,17,Female,No,African American,6416.32
1695,2959,231,2,59,12,Female,No,African American,2038.84
1945,2923,232,2,61,15, Male,Yes,African American,1667.31
3454,3402,232,2,61,12, Male,Yes,Asian,6150.64
380,2906,232,2,62,16, Male,No,Caucasian,736.05
1912,3650,232,2,48,11,Female,Yes,Caucasian,2424.78
5477,3388,233,2,55,12,Female,No,African American,10153.88
3576,3402,233,2,57,16, Male,Yes,Asian,6531.09
260,2860,235,2,58,11,Female,Yes,Asian,1101.8
4318,3096,236,2,59,13,Female,Yes,Caucasian,6357.59
611,2963,241,2,63,16,Female,No,African American,1312.43
391,1852,248,1,57,14,Female,No,African American,474.86
5484,3063,248,2,53,13,Female,No,Caucasian,10712.97
2933,3063,248,2,62,17,Female,No,Caucasian,3837.21
932,2998,251,2,54,15, Male,No,Caucasian,1510.63
236,3293,251,2,60,14, Male,Yes,Caucasian,888.29
3293,3254,253,2,54,14,Female,No,Asian,3987.59
2279,4350,253,2,56,11,Female,Yes,Asian,2475.6
3117,3089,254,2,56,15,Female,No,Caucasian,4285.52
5273,1787,256,1,61,19,Female,No,African American,10404.84
3330,3736,256,2,55,12, Male,No,Caucasian,4882.03
331,3411,259,2,62,14,Female,No,Caucasian,1185.7
906,3615,263,2,53,15, Male,No,African American,1249.12
954,3615,263,2,60,17, Male,No,African American,1305.2
1194,3615,263,2,60,14, Male,No,African American,1582.44
2204,3189,263,3,57,15, Male,No,Asian,2989.1
1341,3557,263,2,48,12,Female,Yes,Asian,1121.62
819,3461,264,4,50,14, Male,Yes,Caucasian,528.9
2807,1852,265,1,65,15,Female,No,African American,3121.21
3304,2000,265,1,58,16,Female,Yes,African American,4619.15
2599,3211,265,4,53,17,Female,No,Asian,3362.67
1496,3388,266,4,59,16,Female,Yes,African American,2234.6
3124,3300,266,5,58,15,Female,No,Caucasian,4495.16
3681,3202,267,5,46,14, Male,Yes,Caucasian,6386.22
448,3202,267,5,55,11, Male,Yes,Caucasian,538.03
2413,3202,267,5,56,15, Male,Yes,Caucasian,3104.81
316,3202,267,5,63,14, Male,Yes,Caucasian,462.13
2286,3326,268,4,60,18, Male,No,Caucasian,2416.95
5246,3291,269,2,62,14,Female,No,African American,10516.58
1774,3536,270,2,52,14,Female,No,African American,2044.14
2390,3536,270,2,55,11,Female,No,African American,2893.56
3483,3098,272,4,59,13, Male,Yes,Caucasian,5848.38
3667,3461,279,3,58,13, Male,Yes,African American,6333.68
3643,3261,279,5,58,15, Male,Yes,Asian,5682.19
1029,3746,280,2,54,15,Female,Yes,Caucasian,1139.72
1824,3821,281,4,60,15,Female,Yes,Asian,2139.36
1530,3606,283,2,58,12, Male,Yes,Caucasian,993.72
2121,3714,286,2,52,16,Female,Yes,African American,3032.99
1995,3933,287,4,58,14, Male,Yes,Asian,2209.72
1925,3933,287,4,52,13, Male,Yes,Asian,2084.91
2977,3665,287,4,64,15,Female,Yes,Caucasian,3945.15
3688,3665,287,4,58,14,Female,Yes,Caucasian,5498.05
1840,3762,287,3,56,19, Male,Yes,Caucasian,2403.01
2903,3449,288,3,60,15,Female,Yes,Caucasian,3318.37
4257,3449,288,3,59,15,Female,Yes,Caucasian,6371.19
2539,1787,289,1,55,12,Female,No,African American,3499.63
1150,3526,289,3,65,17,Female,No,Caucasian,859.06
2186,3625,289,6,57,15,Female,No,Caucasian,2230.26
5198,3976,291,2,60,14, Male,Yes,Caucasian,11839.87
4819,3873,292,1,61,14,Female,Yes,Asian,8349.22
4285,3782,293,2,55,15,Female,No,Caucasian,6841.91
915,3584,294,5,58,14, Male,Yes,Asian,1047.78
5517,3584,294,5,59,16, Male,Yes,Asian,13651
540,3907,296,2,53,16, Male,No,Caucasian,43.9
684,3907,296,3,54,13, Male,Yes,Caucasian,457.09
3726,3907,296,2,53,14, Male,No,Caucasian,5692.38
5376,3907,296,2,61,12, Male,No,Caucasian,11822.12
1837,3874,298,3,66,18,Female,Yes,Asian,1850.64
1427,4270,299,1,53,11,Female,Yes,Caucasian,1751.15
1806,3969,301,2,61,15, Male,Yes,African American,1527.72
4583,3807,301,4,60,13,Female,Yes,Asian,7094.5
3113,4116,314,2,52,15,Female,No,Asian,4452.84
254,4116,314,2,56,12,Female,Yes,Asian,1038.63
5522,4442,316,1,66,17,Female,No,Asian,10109.45
1013,4391,316,2,59,14,Female,No,Caucasian,679.03
1552,4263,317,1,56,17, Male,No,Caucasian,2410.19
1769,4263,317,1,53,9, Male,No,Caucasian,2751.46
3397,4263,317,1,58,14, Male,No,Caucasian,6470.38
2539,3954,318,4,60,12, Male,Yes,Caucasian,3664.11
1714,3954,318,4,60,9, Male,Yes,Caucasian,2110.57
1240,4327,320,2,60,12, Male,No,African American,1047.74
315,4160,320,4,51,12,Female,Yes,Caucasian,395.59
2882,4431,320,2,54,14, Male,Yes,Caucasian,4054.9
2474,4381,321,3,57,15, Male,Yes,Asian,3783.47
4175,4351,323,2,66,8, Male,Yes,Caucasian,8310.86
1821,4323,326,5,57,14, Male,Yes,Asian,1124.35
4880,4640,332,2,53,14, Male,No,Asian,9751.48
1743,4534,333,2,63,16, Male,No,African American,1765.08
962,4090,335,3,54,13,Female,Yes,Asian,795.97
3753,4284,338,5,54,11,Female,Yes,Caucasian,6159.94
4514,4523,338,4,55,12, Male,No,Caucasian,8393.88
4192,4523,338,4,52,16, Male,No,Caucasian,7234.68
1564,4523,338,4,53,14, Male,No,Caucasian,972.99
2811,4745,339,2,51,13, Male,Yes,African American,3937.36
3100,4745,339,2,57,15, Male,Yes,African American,4718.19
2359,4378,339,3,59,13,Female,Yes,Asian,3264.68
579,4378,339,3,56,10,Female,Yes,Asian,1308.06
2641,4336,339,1,60,13, Male,Yes,Caucasian,4519.86
4347,4712,340,2,56,15, Male,Yes,Caucasian,9185.34
722,4668,341,2,53,16,Female,No,African American,638.56
771,4668,341,2,56,13,Female,No,Asian,667.62
1810,4716,342,2,60,15, Male,No,Caucasian,1967.18
3565,4716,342,2,58,12, Male,No,Caucasian,5908.28
471,4471,344,3,55,15, Male,Yes,Asian,999.46
3860,4613,344,5,50,9, Male,Yes,Asian,7265.54
1771,4697,344,4,58,15, Male,No,Asian,2037.1
1243,4433,344,3,54,17, Male,No,Caucasian,1265.84
2770,4433,344,3,58,9, Male,No,Caucasian,3966.84
1841,4433,344,3,58,10, Male,No,Caucasian,2077.28
3297,4612,344,3,51,12, Male,No,Caucasian,4667.73
4864,4612,344,3,63,17, Male,No,Caucasian,9931.88
3902,4866,347,1,63,13,Female,No,Caucasian,5238.62
4292,4763,351,2,51,15,Female,Yes,Asian,7361.86
3815,4763,351,2,56,12,Female,Yes,Asian,6086.63
1249,4970,352,2,55,14, Male,Yes,African American,1826.78
3271,4307,352,4,56,15, Male,Yes,Asian,4915.25
3362,4706,353,6,63,14, Male,No,Asian,4900.97
5227,4831,353,3,58,11,Female,Yes,Caucasian,10223.2
3270,4831,353,3,46,18,Female,Yes,Caucasian,4821.2
5248,4831,353,3,63,15,Female,Yes,Caucasian,10249.31
2346,5000,353,2,60,15, Male,Yes,Caucasian,2812.92
4349,4569,354,4,55,15, Male,Yes,Asian,8244.97
3441,4923,355,1,52,16,Female,Yes,Asian,4895.25
1693,4923,355,1,57,16,Female,Yes,Asian,1901.09
4828,4923,355,1,51,17,Female,Yes,Asian,8518.69
3707,4632,355,1,62,18, Male,Yes,Caucasian,6550.27
524,4391,358,5,60,14,Female,Yes,Caucasian,472.68
487,4788,360,1,52,16, Male,Yes,Asian,407.9
4042,4952,360,4,58,12,Female,Yes,Caucasian,7295.46
241,5198,364,2,59,16,Female,Yes,Asian,646.88
1027,5072,364,1,57,18,Female,Yes,Caucasian,1510.66
3550,4768,365,4,58,15,Female,No,Caucasian,5070.59
906,4964,365,1,55,17,Female,Yes,Caucasian,1026.11
3101,4964,365,1,64,13,Female,Yes,Caucasian,3965.43
3241,4941,366,1,57,15, Male,Yes,Caucasian,4754.77
2890,4941,366,1,58,15, Male,Yes,Caucasian,3905.25
2468,4840,368,3,55,16,Female,Yes,Caucasian,3734.49
3063,4828,369,5,53,13,Female,No,Asian,4626.63
691,4986,369,2,53,13, Male,Yes,Asian,291.75
4392,4986,369,2,59,14, Male,Yes,Asian,8208.12
1807,5140,370,1,54,11,Female,Yes,Caucasian,2051.86
1141,5222,370,4,59,14,Female,No,Caucasian,1832.78
3877,5110,371,3,57,14,Female,Yes,Caucasian,5996.25
2275,5110,371,3,56,13,Female,Yes,Caucasian,2748.42
2438,5051,372,2,56,12,Female,Yes,African American,3450.27
5522,5051,372,2,61,17,Female,Yes,African American,11460.68
1818,5051,372,3,59,16,Female,Yes,Asian,2496.55
1151,5043,376,2,62,13,Female,Yes,Asian,1666.22
2291,5228,377,3,58,15, Male,No,Asian,3526.08
742,5319,377,3,52,13,Female,No,Asian,646.08
1858,5303,377,1,56,15, Male,No,Caucasian,1947.96
5149,4776,378,4,63,15, Male,Yes,Caucasian,10749.89
5511,4776,378,4,53,14, Male,Yes,Caucasian,12309.48
2136,5013,379,3,60,13,Female,Yes,Caucasian,2272.74
267,5013,379,3,51,17,Female,Yes,Caucasian,706.06
934,5099,380,2,59,15,Female,No,African American,1596.61
4826,5099,380,2,63,14,Female,No,African American,9047.35
1088,5107,380,1,61,15, Male,Yes,Caucasian,1082.1
4211,5107,380,1,54,11, Male,Yes,Caucasian,8130.46
1849,5107,380,1,62,9, Male,Yes,Caucasian,2089.88
683,4865,381,5,59,16,Female,No,Caucasian,1239.17
2283,4865,381,5,56,17,Female,No,Caucasian,2919.55
4029,5180,382,3,48,12, Male,Yes,Asian,8130.88
5381,5184,383,4,58,15, Male,Yes,Asian,12826.49
3014,5184,383,4,61,13, Male,Yes,Asian,4527.86
3461,5354,383,2,57,16,Female,Yes,Caucasian,4515.5
283,5352,385,4,53,12,Female,Yes,Caucasian,851.9
5124,5227,386,6,60,15, Male,Yes,Caucasian,11516.86
1667,5227,386,6,56,13, Male,Yes,Caucasian,1572.16
4042,5227,386,6,60,18, Male,Yes,Caucasian,7308.9
425,5137,387,3,62,13, Male,No,African American,475.31
4235,5274,387,3,52,11,Female,Yes,Asian,6571.57
2484,5435,388,2,58,15, Male,No,African American,2593.05
2348,5145,389,3,63,9,Female,Yes,Asian,3240.55
5094,5294,390,4,49,14,Female,No,Caucasian,10332.52
4357,5294,390,4,61,12,Female,No,Caucasian,8015.24
3156,5310,392,2,59,15,Female,No,Caucasian,3902.14
2571,5308,394,1,54,17,Female,Yes,Asian,3098.21
3245,5308,394,1,55,13,Female,Yes,Asian,4407.72
4468,5441,394,1,57,17, Male,Yes,Caucasian,8453.53
3518,5179,398,2,62,12, Male,Yes,African American,5233.68
1062,5179,398,5,61,12, Male,Yes,Asian,471.97
5333,5384,398,2,52,11,Female,Yes,Asian,10887.47
4141,5640,398,3,63,17,Female,No,Asian,6717.25
2358,5199,401,4,60,13, Male,Yes,Asian,2070.56
4453,5550,406,2,59,15,Female,Yes,Asian,8299.58
510,5550,406,2,56,11,Female,Yes,Asian,1505.81
1214,5443,407,2,51,15, Male,Yes,African American,894.74
3283,5495,409,1,59,16, Male,No,Caucasian,4544.39
2425,5565,410,4,54,15,Female,Yes,Caucasian,2880.37
2428,5673,411,4,56,15,Female,Yes,Asian,2321.61
3439,5611,411,4,54,15,Female,No,Caucasian,4968.46
4125,5666,413,4,55,19,Female,Yes,Caucasian,6107.28
2479,5673,413,5,55,16,Female,Yes,Caucasian,2802.72
3012,5673,413,5,58,12,Female,Yes,Caucasian,3805.83
2269,5673,413,5,57,15,Female,Yes,Caucasian,2477.18
2522,5524,415,5,48,15,Female,No,Asian,3163.29
3582,5390,418,4,59,15,Female,Yes,Caucasian,4844.94
2943,5619,418,2,50,14,Female,Yes,Caucasian,4510.71
3807,5380,420,5,65,13, Male,Yes,Asian,6527.76
2026,5829,427,4,62,14,Female,Yes,Asian,2908.77
3055,5977,429,4,62,15, Male,Yes,Asian,4137.17
311,5767,431,2,48,15, Male,Yes,African American,150.44
1594,5533,433,5,58,9,Female,Yes,Asian,1662.14
2062,5833,433,3,60,18,Female,Yes,Asian,1839.92
695,5833,433,3,61,16,Female,Yes,Asian,526.51
5521,5833,433,3,60,14,Female,Yes,Asian,10042.31
1548,5891,434,4,62,15,Female,No,Caucasian,2264.42
292,5728,435,2,65,15,Female,Yes,African American,388.77
3200,5765,437,3,57,19,Female,No,Asian,4370.56
4258,5765,437,3,49,15,Female,No,Asian,6887.22
5001,5884,438,4,57,16, Male,No,Caucasian,11378.64
5455,5884,438,4,65,15, Male,No,Caucasian,13320.99
3529,5759,440,3,65,13,Female,No,Caucasian,4465.92
848,5759,440,3,54,13,Female,No,Caucasian,607.63
3021,6257,445,1,64,16, Male,Yes,Asian,3821.55
4995,6257,445,1,59,11, Male,Yes,Asian,10209.72
4298,6384,448,1,56,13,Female,Yes,Asian,6138.11
4520,6340,448,1,60,17, Male,Yes,Caucasian,8749.55
3696,6340,448,1,54,17, Male,Yes,Caucasian,5954.64
1717,6196,450,6,64,13,Female,No,Caucasian,1789.37
1115,6207,451,4,60,14, Male,No,Caucasian,548.15
5393,6207,451,4,61,9, Male,No,Caucasian,12158.56
5401,6040,456,3,58,18, Male,Yes,Caucasian,12601.76
3275,6040,456,3,60,9, Male,Yes,Caucasian,4948.41
5507,6378,458,1,57,14,Female,No,Caucasian,11449.85
1676,6420,459,2,58,13,Female,Yes,African American,2034.23
1429,6420,459,2,59,14,Female,Yes,African American,1795.47
2808,6179,459,4,61,15,Female,Yes,Caucasian,3126.25
5326,6617,460,1,50,14,Female,Yes,Caucasian,10236.31
3924,6481,462,2,55,16,Female,Yes,Caucasian,6324.28
4064,6135,466,4,51,17, Male,No,Caucasian,6992.78
5265,6135,466,4,59,14, Male,No,Caucasian,11629.33
5276,6662,468,3,62,10,Female,Yes,Caucasian,9566.92
2633,6662,468,3,57,9,Female,Yes,Caucasian,2984.01
1985,6662,468,3,50,16,Female,Yes,Caucasian,1952.97
3852,6375,469,3,56,14,Female,Yes,Caucasian,5071.57
5144,6375,469,3,63,12,Female,Yes,Caucasian,8723.26
4695,6375,469,3,59,14,Female,Yes,Caucasian,7331.51
2954,6386,469,4,60,13,Female,Yes,Caucasian,4337.62
1823,6386,469,4,57,12,Female,Yes,Caucasian,2422.66
364,6555,472,2,56,14,Female,No,Caucasian,714.17
1332,6754,483,2,50,12, Male,Yes,Caucasian,711.11
1522,6396,485,3,61,12,Female,Yes,Caucasian,2251.94
5149,6442,489,4,55,14, Male,Yes,Caucasian,12087.8
4070,6442,489,4,58,15, Male,Yes,Caucasian,7913.82
1243,6819,491,2,57,14,Female,Yes,African American,1320.51
1564,7010,494,3,53,13,Female,Yes,Caucasian,1439.03
1830,7010,494,3,61,12,Female,Yes,Caucasian,1744.72
516,6784,499,2,58,14,Female,No,African American,734.99
474,7114,512,2,62,15, Male,No,Asian,1219.5
